KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	Fxn
K00169	597	303	399	749	476	704	1346	1835	1814	2009	1737	1592	930	974	1264	932	898	830	17	6741	1045	1431	750	547	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	427	271	303	505	354	532	1113	1407	1437	1443	1322	1322	753	891	921	701	587	637	15	3605	730	1172	698	395	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	78	26	43	91	40	98	209	274	292	272	287	216	356	474	327	448	172	135	47	84	181	420	171	131	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	275	183	196	411	286	415	878	1095	1069	903	1079	860	493	703	446	545	266	161	12	166	302	590	360	209	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	4860	4528	4414	4698	4394	5372	5914	7431	7005	6718	6883	5520	5290	5393	4706	4557	3239	2548	114	7362	4043	6463	3491	3073	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	2935	2575	2340	2792	2519	3620	3640	4478	4378	4156	3987	3554	3992	3750	3345	3489	2488	1913	53	5797	2680	4383	2457	2124	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	255	86	98	337	147	604	549	747	774	734	692	590	1278	1303	846	1055	422	410	199	217	491	1143	457	564	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	373	146	183	531	249	787	1125	1364	1667	1502	1341	1289	1549	1745	1024	1366	696	496	23	349	805	1517	691	833	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	1072	653	824	1399	798	1584	2562	3117	3389	3303	3293	2702	2572	2117	1749	2017	1168	700	63	727	1754	2642	1442	1321	"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
K00180	458	366	363	569	469	783	991	1260	1290	1257	1157	958	1295	1302	895	1068	580	367	11	271	677	1290	709	692	"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"
K00183	17	20	22	70	26	43	225	202	301	264	220	142	176	77	218	117	248	277	3	192	234	145	117	68	"prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit"
K00184	3288	3324	3137	3351	3338	4044	3768	4214	4228	4136	4111	3259	2505	1922	2393	1898	1849	1309	113	3299	2307	2471	2202	1287	"prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
K00185	2584	2304	2190	2718	2392	3079	3794	4444	4248	4048	4196	2889	1596	1530	2040	1360	1522	1093	15	3803	1680	1901	1686	937	"prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"
K00186	135	62	112	192	147	182	296	425	382	406	426	305	69	66	92	68	80	36	6	77	120	177	137	90	"2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"
K00187	190	98	146	269	195	288	428	569	537	517	545	416	64	63	90	76	85	16	3	75	135	180	150	87	"2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"
K00188	1	1	1	3	4	1	12	13	10	15	12	10	24	85	9	110	5	6	24	8	14	26	11	8	"2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"
K00189	33	23	33	90	24	63	187	223	209	200	267	206	36	51	28	53	31	15	0	20	43	66	20	26	"2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]"
K00192	2	0	3	22	0	11	64	149	124	156	112	132	23	26	15	18	16	10	0	13	10	18	12	10	acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]
K00193	7	0	3	23	0	4	50	85	88	82	70	64	21	24	15	11	8	6	2	11	7	11	9	7	acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]
K00194	180	29	87	238	62	180	615	840	821	786	816	715	69	38	99	53	71	29	3	102	211	181	155	102	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]
K00195	0	0	4	3	0	2	15	34	15	24	20	37	16	9	5	4	4	3	0	4	5	6	4	3	acetyl-CoA decarbonylase/synthase complex subunit epsilon
K00196	31	8	14	61	17	63	234	260	263	237	242	171	185	234	164	270	93	84	52	54	114	328	127	139	carbon-monoxide dehydrogenase iron sulfur subunit
K00197	247	58	125	385	145	365	1089	1401	1347	1279	1516	1174	106	96	131	112	120	42	34	175	272	261	207	171	acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]
K00198	509	86	272	790	284	670	2462	2829	3052	2629	2918	2240	249	176	404	360	266	134	48	399	623	598	520	385	carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.99.2 1.2.7.4]
K00200	222	311	223	213	246	128	129	240	149	177	179	186	113	122	136	92	100	83	11	33	113	220	159	108	formylmethanofuran dehydrogenase subunit A [EC:1.2.99.5]
K00201	211	257	228	159	219	113	102	215	144	151	144	142	118	122	100	98	66	51	9	25	95	124	119	44	formylmethanofuran dehydrogenase subunit B [EC:1.2.99.5]
K00202	71	108	86	90	77	51	43	122	62	69	72	56	91	80	74	59	40	47	2	23	71	126	87	60	formylmethanofuran dehydrogenase subunit C [EC:1.2.99.5]
K00203	29	21	27	24	10	14	18	47	33	22	31	45	54	59	35	25	25	24	0	7	27	37	39	21	formylmethanofuran dehydrogenase subunit D [EC:1.2.99.5]
K00204	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4Fe-4S ferredoxin
K00205	2	1	5	8	1	0	23	54	80	53	45	39	39	36	30	32	13	13	17	13	31	30	20	19	4Fe-4S ferredoxin
K00207	47	64	79	38	48	32	17	27	19	15	17	9	2	1	9	5	7	6	0	8	14	23	13	4	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	2512	2272	1985	1472	2105	1935	1185	1437	1334	1207	1155	1147	2582	2861	3050	3035	2066	2149	30	538	1984	4096	2671	1468	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	216	259	197	164	190	146	219	237	223	211	203	122	157	165	166	143	135	72	1	66	215	297	239	244	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00210	89	86	86	88	87	92	177	178	180	177	164	143	105	118	101	101	73	47	8	37	149	249	105	156	prephenate dehydrogenase [EC:1.3.1.12]
K00211	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase [EC:1.3.1.20]"
K00213	11	20	18	12	14	21	6	9	3	4	14	1	0	0	1	2	1	0	7	2	1	15	1	5	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	1	0	1	0	3	3	6	1	0	0	3	1	1	0	0	0	2	0	1	2	4	2	2	3	biliverdin reductase [EC:1.3.1.24]
K00215	2232	1987	1796	1516	2000	2109	1508	1940	1910	1921	1663	1815	3393	3214	3037	3066	2165	1598	64	3644	2287	3971	2382	1581	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	63	82	55	48	83	43	24	40	25	43	49	29	8	11	21	11	5	1	5	8	38	11	15	11	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
K00217	145	227	178	156	215	152	26	56	32	34	32	61	102	114	97	110	99	57	14	18	101	146	86	39	maleylacetate reductase [EC:1.3.1.32]
K00218	64	45	56	34	46	36	51	24	36	37	39	27	53	76	73	64	41	4	0	16	48	47	60	26	protochlorophyllide reductase [EC:1.3.1.33]
K00219	1391	1035	1086	927	1002	1000	1901	2096	2309	2109	2240	1541	1650	1797	2645	2284	1408	1372	18	551	1645	3154	2084	987	"2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
K00220	378	386	449	252	390	289	85	150	149	147	129	109	392	405	777	714	362	366	8	122	422	1108	652	294	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	11	35	16	20	27	62	6	6	7	5	8	5	5	0	2	0	2	4	0	1	2	1	1	0	alkylmercury lyase [EC:4.99.1.2]
K00222	64	127	99	60	68	63	42	60	56	61	61	65	4	17	21	14	15	3	11	8	28	45	21	17	delta14-sterol reductase [EC:1.3.1.70]
K00223	5	5	2	4	2	2	7	8	3	7	3	2	0	0	1	0	1	0	0	1	1	1	0	0	delta24(24(1))-sterol reductase [EC:1.3.1.71]
K00225	3	3	4	1	0	0	2	10	2	2	13	0	3	21	0	44	2	0	1	6	3	13	21	12	"L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]"
K00226	1045	837	810	1027	1000	1599	1193	1534	1556	1461	1502	1256	1739	1882	1613	1937	1338	707	41	531	1747	2350	1676	1451	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K00227	96	128	92	50	82	24	12	16	23	10	14	14	4	2	13	1	8	5	0	4	12	24	7	8	delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	1274	1211	1056	668	1069	1175	594	815	668	633	591	648	1855	1853	1752	1768	1231	1126	41	283	1161	2158	1389	706	coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	416	269	251	283	327	600	351	522	552	639	391	645	1570	1608	1677	1871	1210	1003	35	690	949	2016	992	763	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	1441	1181	1126	1159	1276	1448	1053	1315	1402	1511	1041	1385	1246	1006	1071	1029	953	579	92	1183	1065	1405	857	630	oxygen-dependent protoporphyrinogen oxidase [EC:1.3.3.4]
K00232	548	484	429	188	338	191	48	64	42	61	68	45	144	112	180	143	137	83	20	48	153	280	139	155	acyl-CoA oxidase [EC:1.3.3.6]
K00234	4	12	10	7	4	3	9	7	3	4	3	5	1	1	1	1	6	0	16	9	3	18	9	5	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	1	5	0	2	3	0	4	4	1	1	2	3	5	0	3	2	2	2	11	2	5	19	3	7	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00236	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	4950	4624	4287	3739	4029	4145	3944	4902	4674	4730	4517	4066	3848	3279	4662	3813	3340	2968	40	13149	3709	5864	3639	2354	"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
K00240	2500	2287	1990	1779	1979	2323	1814	2291	2160	2195	1935	1889	2619	2384	2761	2496	2066	1880	23	4347	2023	3573	2348	1281	"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
K00241	1703	1459	1151	1157	1273	1642	1069	1451	1305	1330	1109	1220	1637	1744	1868	1780	1454	1306	27	2138	1430	2267	1533	918	"succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
K00242	587	603	445	340	529	702	233	441	347	388	236	398	1015	751	1184	1061	730	829	3	2144	648	1412	858	453	"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
K00243	507	273	270	220	285	534	506	466	628	539	534	311	652	712	532	514	373	201	24	111	482	687	549	380	uncharacterized protein
K00244	1116	1164	1148	822	1109	1063	1010	1268	1102	1032	1050	780	1354	1361	1576	1607	1074	908	53	574	954	1779	1361	624	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	351	371	339	237	300	357	357	449	428	331	371	239	695	633	793	853	500	454	7	104	371	862	690	216	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246	207	168	171	107	165	190	257	292	232	178	173	146	561	506	580	527	506	395	3	68	398	739	559	198	fumarate reductase subunit C
K00247	149	142	131	89	143	152	62	95	60	77	40	100	135	147	225	188	115	169	1	26	109	301	157	64	fumarate reductase subunit D
K00248	1741	1833	1651	2000	1773	1844	2104	2500	2344	2390	2303	2220	1553	1706	1306	1455	957	616	34	407	1205	1721	1081	824	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	8412	9240	8008	5565	7698	5625	5225	6499	5871	6029	5331	4958	3970	3644	5561	5010	4232	3736	89	6617	4454	8675	4207	2807	acyl-CoA dehydrogenase [EC:1.3.8.7]
K00251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]
K00252	2283	1964	1897	1419	1710	1657	983	1368	1071	1150	1007	1408	2494	2340	2698	2713	2049	2040	15	777	1671	2923	1944	983	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	1104	1070	932	679	863	722	619	734	679	581	619	525	808	903	1058	1101	835	641	0	186	674	1480	873	498	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	1442	1127	1117	747	1116	953	513	724	782	898	545	885	1909	1702	2166	2178	1499	1259	32	4837	1485	2679	1554	883	dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	196	154	125	70	81	90	49	58	62	61	50	31	258	259	443	381	230	249	2	84	242	703	191	150	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00256	466	438	435	941	587	939	858	1005	971	838	873	651	100	140	91	76	119	33	0	30	127	142	97	77	isoquinoline 1-oxidoreductase [EC:1.3.99.16]
K00257	9431	9645	8702	6962	9146	7387	6705	8225	7887	7446	7225	5731	5231	4908	6355	5568	4714	3585	78	6246	5428	9238	5606	3494	
K00259	3079	2613	2389	2082	2481	3040	2214	2908	2692	2631	2531	2439	3843	3717	3433	3823	2454	2093	19	629	2428	3784	2962	1653	alanine dehydrogenase [EC:1.4.1.1]
K00260	122	113	141	182	120	125	125	139	123	138	136	178	1148	887	566	694	403	296	3	341	473	785	341	396	glutamate dehydrogenase [EC:1.4.1.2]
K00261	2572	2641	2458	2235	2316	2578	2129	2782	2551	2890	2366	2797	3440	2827	3698	2802	2623	2384	52	5782	2563	4140	2080	1568	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	1978	1520	1348	1463	1279	1899	2337	2803	2852	2683	2612	1975	2970	3300	2637	2960	2056	1407	19	2188	2495	3071	2655	1670	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	1099	1195	1102	818	1146	916	692	928	680	661	673	701	1889	1529	1317	1610	1156	874	5	301	947	1670	958	659	leucine dehydrogenase [EC:1.4.1.9]
K00264	249	254	254	144	249	173	244	266	394	225	228	176	31	39	75	36	42	14	12	45	68	109	57	52	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
K00265	7064	6125	6107	4849	5851	5647	4434	5330	5430	5635	4960	4878	4770	4310	7031	5428	4516	3690	58	14757	5517	8968	5167	3513	glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]
K00266	4028	3209	3163	3096	3145	3930	3952	4959	4751	4470	4503	3961	3867	3496	4230	4303	2763	2235	123	1300	3472	6334	3963	2743	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
K00270	5	10	11	4	7	7	2	5	4	1	5	7	1	2	4	1	0	1	0	1	5	12	4	0	phenylalanine dehydrogenase [EC:1.4.1.20]
K00271	61	67	73	54	65	26	16	32	15	9	18	14	4	6	12	12	13	15	0	5	11	63	11	23	valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00272	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D-aspartate oxidase [EC:1.4.3.1]
K00273	178	228	160	65	153	80	29	34	37	68	28	68	53	56	53	49	39	34	8	722	55	54	72	19	D-amino-acid oxidase [EC:1.4.3.3]
K00274	1175	1189	1065	573	938	752	391	536	494	502	390	785	1107	1417	1034	1119	813	669	28	268	806	1471	904	584	monoamine oxidase [EC:1.4.3.4]
K00275	1451	1196	1041	795	1108	1219	628	893	725	728	647	799	1990	1799	1882	2083	1399	1229	18	265	1220	2358	1618	864	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	281	428	337	163	233	199	87	80	74	60	84	36	308	371	255	246	287	151	24	1238	227	225	244	59	primary-amine oxidase [EC:1.4.3.21]
K00277	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	protein-lysine 6-oxidase [EC:1.4.3.13]
K00278	2350	2051	1985	2107	2226	2506	2108	2817	2673	2729	2659	2609	2193	1891	2359	2009	1800	1064	96	3091	2227	2829	1960	1290	L-aspartate oxidase [EC:1.4.3.16]
K00279	2	37	19	47	46	28	3	4	16	5	6	4	0	0	0	0	1	0	0	0	0	5	0	2	cytokinin dehydrogenase [EC:1.5.99.12]
K00280	3	3	10	0	10	2	0	0	1	1	3	1	0	2	0	0	0	0	0	0	0	2	1	1	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	3779	3139	2932	2040	2417	2120	1585	1870	1608	1637	1707	1516	3955	3418	3701	3706	2446	2237	56	679	2588	4327	3119	1915	glycine dehydrogenase [EC:1.4.4.2]
K00282	1306	1196	1263	1254	1370	1815	1544	1884	1976	2064	1715	1800	1863	1628	1741	1561	1107	860	17	3670	1281	2093	1045	989	glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	1513	1307	1296	1396	1503	1889	1687	2070	2139	2232	1827	1864	1986	1601	1780	1598	1266	964	13	3887	1427	2295	1139	1095	glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284	2153	2251	2101	1952	2023	1859	1481	1719	1976	1865	1608	1854	1609	1629	1327	1332	1073	626	37	460	1451	1768	1466	911	glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	1664	1688	1597	1025	1649	1343	837	1047	899	871	807	842	1254	1351	1617	1517	1116	1111	38	562	1036	2187	1366	699	D-amino-acid dehydrogenase [EC:1.4.99.-]
K00286	2402	1811	1651	1476	1815	2051	1443	1997	1826	2028	1851	1929	2674	2452	2720	2546	1799	1477	53	3663	1850	3407	2123	1439	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	1104	864	816	649	926	1283	831	1039	955	925	794	859	1758	1694	1629	1589	1267	945	75	4759	1243	1785	1480	837	dihydrofolate reductase [EC:1.5.1.3]
K00288	279	223	192	179	137	174	204	289	283	271	302	254	40	50	54	53	39	11	1	85	98	111	78	50	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	9	14	14	5	35	8	3	1	0	0	2	1	0	0	0	1	0	0	0	0	0	3	0	1	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00290	850	416	457	461	514	947	691	816	817	794	705	579	725	881	1096	912	612	638	7	246	723	1446	827	562	"saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
K00292	323	149	139	97	100	124	157	189	190	212	180	134	133	195	163	163	71	69	0	37	137	159	128	91	"saccharopine dehydrogenase (NAD+, L-glutamate forming) [EC:1.5.1.9]"
K00293	275	167	176	222	192	336	479	454	538	462	459	267	758	859	858	889	515	560	7	208	608	1149	590	397	"saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
K00294	1893	1552	1490	1582	1460	1693	1576	1781	1770	1799	1567	1409	2171	1954	1693	1819	1388	851	35	514	1374	1813	1453	1014	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00295	2	3	2	3	0	2	2	4	1	1	4	2	0	6	2	6	0	0	1	6	9	29	2	1	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
K00297	3273	2769	2634	2323	2639	2928	2807	3636	3536	3358	3448	2986	3658	3226	3858	3958	2637	2549	148	1168	2906	4922	3378	2012	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K00298	0	0	0	10	0	4	4	4	13	10	12	19	5	10	2	4	3	0	0	1	3	7	0	0	N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K00299	110	243	121	114	173	122	48	66	40	51	39	212	13	10	42	22	30	27	1	16	55	107	37	51	FMN reductase [EC:1.5.1.38]
K00301	699	807	700	419	663	506	224	329	295	312	262	257	280	293	433	329	304	261	31	1673	298	691	275	241	sarcosine oxidase [EC:1.5.3.1]
K00302	2637	2522	2496	1416	2129	1522	1349	1693	1508	1492	1475	1145	2921	2451	4116	3651	2128	2271	22	910	2455	5943	2705	1841	"sarcosine oxidase, subunit alpha [EC:1.5.3.1]"
K00303	2199	2132	1985	1387	1772	1404	1935	2379	2367	2203	2081	1752	2716	2110	3031	2782	1827	1788	55	1195	2111	4544	2000	1467	"sarcosine oxidase, subunit beta [EC:1.5.3.1]"
K00304	481	451	406	187	395	318	187	244	220	173	162	157	596	653	1029	912	563	702	6	150	543	1516	693	435	"sarcosine oxidase, subunit delta [EC:1.5.3.1]"
K00305	375	378	399	174	358	263	121	140	152	113	115	86	630	718	1194	1022	605	779	3	167	623	1645	846	473	"sarcosine oxidase, subunit gamma [EC:1.5.3.1]"
K00306	156	177	168	278	103	60	89	66	59	45	68	15	37	34	41	39	36	14	0	10	18	37	35	16	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
K00308	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N1-acetylpolyamine oxidase [EC:1.5.3.13]
K00311	1833	1874	1789	1334	1739	1424	1200	1477	1447	1747	1233	1549	1848	1637	2549	2147	2043	1620	38	10105	1705	3280	1703	1001	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00313	183	241	202	222	223	269	113	248	273	570	198	745	808	748	756	599	802	636	26	667	692	827	415	238	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00314	44	58	78	22	23	49	25	2	19	18	10	9	5	7	2	0	11	4	0	1	5	5	4	5	sarcosine dehydrogenase [EC:1.5.8.3]
K00315	3222	2757	2734	1228	1738	1122	1143	1126	1181	1055	1177	568	2439	2437	4565	3711	2204	2790	15	832	2446	7277	2927	2139	dimethylglycine dehydrogenase [EC:1.5.8.4]
K00316	568	874	679	418	457	278	718	714	565	436	560	179	79	81	116	152	101	45	5	18	107	145	114	49	spermidine dehydrogenase [EC:1.5.99.6]
K00317	891	864	931	515	841	680	582	558	393	311	493	159	232	262	384	386	183	211	9	75	219	650	202	177	dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318	1033	939	815	889	905	1284	788	931	1069	1112	875	958	1262	1270	1279	1111	1046	771	27	1438	1061	1241	876	552	proline dehydrogenase [EC:1.5.-.-]
K00319	5	3	1	2	3	0	19	12	21	23	23	9	21	20	8	6	11	7	0	4	14	10	9	3	methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]
K00320	517	754	577	462	714	557	285	401	352	426	293	367	204	127	446	146	272	283	9	4171	379	587	182	121	"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"
K00322	767	943	850	716	987	1079	429	535	509	489	425	558	822	770	756	786	552	493	40	161	713	1024	626	363	NAD(P) transhydrogenase [EC:1.6.1.1]
K00323	11	10	15	11	11	8	8	7	7	7	15	4	2	0	5	3	2	0	26	5	12	33	5	7	NAD(P) transhydrogenase [EC:1.6.1.2]
K00324	2877	2855	2541	2365	2846	3345	1975	2601	2335	2339	2040	2162	3043	2807	3142	3043	2633	1779	25	732	2198	3576	2944	1500	NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
K00325	2597	2442	2280	1898	2356	2394	1690	2201	1900	1975	1662	1718	2276	2016	2546	2640	1884	1396	21	688	1771	3362	2158	1304	NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
K00326	39	39	28	30	29	49	28	52	36	57	35	94	95	33	105	68	89	68	31	1537	107	136	61	52	cytochrome-b5 reductase [EC:1.6.2.2]
K00327	15	5	12	2	3	7	16	7	5	6	6	5	0	1	1	0	2	1	1	6	6	20	4	4	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K00329	85	38	40	12	30	17	7	15	17	19	11	16	250	289	454	402	235	257	0	56	210	687	297	165	NADH dehydrogenase [EC:1.6.5.3]
K00330	1645	1408	1136	1225	1312	2109	1007	1450	1193	1323	1089	1307	1589	1398	1685	1659	1397	1286	14	2242	1272	2042	1403	678	NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]
K00331	1759	1656	1253	1410	1443	2161	968	1516	1373	1451	1149	1462	1950	1845	2227	2058	1889	1446	65	3382	1478	2608	1528	1001	NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]
K00332	1598	1432	1152	1061	1269	1769	872	1316	1028	1013	915	1100	1819	1558	1834	1911	1354	1071	117	372	1301	2548	1378	970	NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]
K00333	3340	3170	2765	2508	2735	3243	2228	2730	2691	2526	2605	2243	2795	2304	2705	2585	1872	1610	42	769	2039	3508	1961	1477	NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]
K00334	1904	1368	1328	1659	1459	2343	2231	2949	2934	2727	2675	2436	4262	4373	3978	4562	2717	2272	122	883	2621	5513	3246	2478	NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]
K00335	4524	3466	3417	4628	3680	5071	6389	8093	8231	8004	8077	7079	7265	7348	6211	6858	4367	3063	244	2348	5179	8464	5176	3825	NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]
K00336	3711	3061	2974	3535	3510	4528	2662	3827	3521	3767	3228	3508	6317	6114	5847	6254	4624	3549	88	1321	4222	7335	5328	3382	NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]
K00337	3308	2917	2673	2706	2743	3529	2247	2767	2617	2890	2440	2721	3725	2950	3554	3536	2994	2173	53	4841	2702	4092	2859	1668	NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
K00338	1818	1616	1291	1464	1482	2257	1191	1581	1536	1579	1245	1495	2062	1663	2093	2220	1703	1625	39	3497	1535	2454	1724	870	NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
K00339	1800	1535	1272	1399	1542	2411	1221	1697	1447	1473	1219	1508	1820	1683	2051	1773	1570	1502	82	4125	1461	2495	1500	848	NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]
K00340	1434	1223	1002	1163	1242	1875	953	1364	1276	1223	972	1212	1594	1331	1643	1521	1261	1216	7	2238	1169	1960	1293	659	NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]
K00341	4865	4657	3940	4016	4187	5136	2962	4233	4030	4139	3336	3621	3712	3522	4872	4039	3573	3392	78	9857	3392	5848	3500	1869	NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00342	4638	4270	3636	3722	3856	4242	2977	3790	3528	3645	3167	3301	3837	2923	3792	3388	2990	2671	87	6435	2854	4701	2848	1946	NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]
